Order ID,first_name,last_name,email,gender,Product,Product Category,Amount,
1,Morganne,Gerler,mgerler0@wufoo.com,Female,Nike Air Max,Mobiles,"$1,414.86 ",
2,Nollie,Jakab,njakab2@diigo.com,Male,Nike Air Max,Laptop,$277.91 ,
3,Austin,Relph,arelph3@etsy.com,Female,Amazon Echo,mobile accesories,"$1,155.54 ",
4,Kessia,Carrett,kcarrett4@uol.com.br,Female,Nike Air Max,mobile accesories,$32.36 ,
5,Brod,Fallen,bfallen5@yahoo.co.jp,Male,Sony PlayStation,Fashion,$888.05 ,
6,Louisette,Beche,lbeche7@devhub.com,Female,MacBook Pro,Laptop,$359.21 ,
7,Hiram,Fridd,hfridd8@arstechnica.com,Male,Fitbit Charge,Fashion,"$1,461.50 ",
8,Slade,Kealey,skealey9@flavors.me,Male,MacBook Pro,Fashion,"$1,361.21 ",
9,Hilarius,Deeprose,hdeeprosea@furl.net,Male,Nike Air Max,Gaming,$997.24 ,
10,Gilbertine,Spyvye,gspyvyeb@list-manage.com,Female,iPhone,Laptop,$772.93 ,
11,Analiese,Camoys,acamoysc@tripadvisor.com,Female,Nike Air Max,Health,$689.87 ,
12,Cecelia,Fellenor,cfellenord@cbsnews.com,Genderqueer,Canon EOS,Mobiles,"$1,480.74 ",
13,Slade,Tatershall,statershalle@wufoo.com,Male,MacBook Pro,Gaming,$337.74 ,
14,Angie,Petrillo,apetrillof@weebly.com,Male,iPhone,Mobiles,$429.29 ,
15,Stavro,La Vigne,slavigneg@youku.com,Male,Sony PlayStation,Gaming,$478.92 ,
16,Antoine,Crosdill,acrosdillh@mlb.com,Male,Sony PlayStation,Laptop,$363.68 ,
17,Isis,Jenkins,ijenkinsi@cnbc.com,Female,Fitbit Charge,Health,$670.87 ,
18,Ruggiero,Cavan,rcavanj@omniture.com,Male,Samsung Galaxy,Gaming,$350.09 ,
19,Edsel,Crichton,ecrichtonk@ucoz.ru,Bigender,Fitbit Charge,Fashion,$238.62 ,
20,Lynette,Wilcox,lwilcoxl@china.com.cn,Female,MacBook Pro,Mobiles,$546.21 ,
21,Desiri,Marcome,dmarcomen@etsy.com,Female,Amazon Echo,mobile accesories,$990.86 ,
22,Arty,Bartleman,abartlemano@bravesites.com,Male,Sony PlayStation,mobile accesories,$81.66 ,
23,Norby,Hazleton,nhazletonp@intel.com,Male,MacBook Pro,Health,"$1,390.09 ",
24,Agosto,Boribal,aboribalq@sphinn.com,Male,MacBook Pro,Health,$908.34 ,
25,Graham,Weedall,gweedallr@mashable.com,Male,MacBook Pro,Fashion,$525.08 ,
26,Nan,Cattemull,ncattemulls@angelfire.com,Female,Nike Air Max,Health,$252.84 ,
27,Kimberlyn,Semour,ksemourt@blog.com,Polygender,Amazon Echo,Health,"$1,075.52 ",
28,Leda,Kelshaw,lkelshawv@list-manage.com,Non-binary,Nike Air Max,Health,$311.22 ,
29,Marcelia,Lickorish,mlickorishw@timesonline.co.uk,Female,MacBook Pro,Health,"$1,426.61 ",
30,Miguel,Readshall,mreadshallx@goo.ne.jp,Genderqueer,Fitbit Charge,Fashion,$919.72 ,
31,Adele,MacNamara,amacnamaray@xing.com,Female,Nintendo Switch,mobile accesories,$995.97 ,
32,Shaine,Ayto,saytoz@businessweek.com,Male,Amazon Echo,Health,$223.65 ,
33,Vanda,Nannoni,vnannoni10@vistaprint.com,Female,Amazon Echo,Mobiles,$823.32 ,
34,Rolfe,Gobbet,rgobbet11@google.cn,Male,iPhone,Mobiles,$51.38 ,
35,Gilles,Conniam,gconniam12@mit.edu,Male,Amazon Echo,Health,$939.70 ,
36,Filmore,Freshwater,ffreshwater13@bizjournals.com,Male,Fitbit Charge,mobile accesories,$547.27 ,
37,Raquela,Shevill,rshevill14@naver.com,Female,iPhone,Laptop,"$1,397.88 ",
38,Karalee,Pennacci,kpennacci15@comsenz.com,Female,Nike Air Max,Fashion,"$1,480.33 ",
39,Sharron,Orth,sorth16@purevolume.com,Female,Fitbit Charge,mobile accesories,$304.07 ,
40,Burke,St. Quentin,bstquentin17@over-blog.com,Male,Nike Air Max,Laptop,$655.92 ,
41,Kelvin,Haddick,khaddick18@sciencedaily.com,Male,Sony PlayStation,Laptop,$538.26 ,
42,Darren,Farries,dfarries19@wufoo.com,Male,Nintendo Switch,Fashion,$458.75 ,
43,Paulita,Delafoy,pdelafoy1a@weather.com,Female,Samsung Galaxy,Health,"$1,034.88 ",
44,Trudy,Luckey,tluckey1b@xinhuanet.com,Female,Fitbit Charge,Laptop,$621.93 ,
45,,Ganny,bganny1c@weibo.com,Male,Sony PlayStation,Gaming,"$1,042.19 ",
46,Nicholle,Jacklings,njacklings1e@icq.com,Female,Nike Air Max,Fashion,$998.79 ,
47,Garrick,Roy,groy1g@delicious.com,Male,Nike Air Max,Health,$819.70 ,
48,Lorianna,Yielding,lyielding1h@google.co.jp,Female,Nike Air Max,Fashion,$692.59 ,
49,Nisse,Loughead,nloughead1i@imdb.com,Female,Fitbit Charge,mobile accesories,$829.73 ,
50,Lyndel,Silver,lsilver1j@netvibes.com,Female,Fitbit Charge,Mobiles,"$1,192.54 ",
51,Falito,Varley,fvarley1k@instagram.com,Male,Fitbit Charge,Laptop,$640.93 ,
52,Maurine,Cristoforo,mcristoforo1m@pcworld.com,Female,MacBook Pro,Gaming,"$1,074.16 ",
53,Dulciana,Fullbrook,dfullbrook1n@wiley.com,Female,GoPro Hero,Health,$601.60 ,
54,Bondy,Castanone,bcastanone1p@infoseek.co.jp,Male,Nike Air Max,Gaming,$569.69 ,
55,Maribel,Denning,mdenning1q@hp.com,Female,Nintendo Switch,mobile accesories,$788.63 ,
56,Doll,Ciementini,dciementini1r@walmart.com,Female,Samsung Galaxy,Mobiles,$803.16 ,
57,Burr,Lindblad,blindblad1s@amazonaws.com,Male,Amazon Echo,Health,$202.05 ,
58,Raimundo,Budget,rbudget1t@ibm.com,Male,Nike Air Max,Gaming,$494.66 ,
59,Rowe,Yarr,ryarr1u@earthlink.net,Female,Sony PlayStation,Gaming,"$1,163.54 ",
60,Ryann,Goldsmith,rgoldsmith1w@bandcamp.com,Female,Nike Air Max,Health,"$1,469.71 ",
61,Menard,Preshaw,mpreshaw1x@drupal.org,Bigender,Fitbit Charge,mobile accesories,"$1,406.84 ",
62,Any,Jago,ajago1y@hatena.ne.jp,Male,iPhone,Laptop,$955.87 ,
63,Susie,Grimsdell,sgrimsdell1z@yellowpages.com,Female,Sony PlayStation,Health,"$1,482.36 ",
64,Malva,Bummfrey,mbummfrey20@amazonaws.com,Non-binary,Samsung Galaxy,mobile accesories,"$1,218.07 ",
65,Harlene,Shoppee,hshoppee21@scribd.com,Female,MacBook Pro,Laptop,$946.55 ,
